model tuple,gen,test result
"('001', '1011000111')","{'S_1': '0-01', 'S_2': '1-01-100-0111'}","(0.2496, 2.2763038314819335)"
"('001', '1011001000')","{'S_1': '0-01', 'S_2': '1-01-100-1000'}","(0.5595, 2.179507997131348)"
"('001', '1011001001')","{'S_1': '0-01', 'S_2': '1-01-100-1001'}","(0.5564, 2.1661721031188965)"
"('001', '1011001010')","{'S_1': '0-01', 'S_2': '1-01-100-1010'}","(0.5561, 2.1822549674987792)"
"('001', '1011001011')","{'S_1': '0-01', 'S_2': '1-01-100-1011'}","(0.5535, 2.16877219619751)"
"('001', '1011001100')","{'S_1': '0-01', 'S_2': '1-01-100-1100'}","(0.5602, 2.173275535964966)"
"('001', '1011001101')","{'S_1': '0-01', 'S_2': '1-01-100-1101'}","(0.5545, 2.158957343673706)"
"('001', '1011001110')","{'S_1': '0-01', 'S_2': '1-01-100-1110'}","(0.5554, 2.175801079559326)"
"('001', '1011001111')","{'S_1': '0-01', 'S_2': '1-01-100-1111'}","(0.5502, 2.1612163745880126)"
"('001', '1011010000')","{'S_1': '0-01', 'S_2': '1-01-101-0000'}","(0.0654, 2.3052851627349855)"
"('001', '1011010001')","{'S_1': '0-01', 'S_2': '1-01-101-0001'}","(0.2009, 2.2857790184020996)"
"('001', '1011010010')","{'S_1': '0-01', 'S_2': '1-01-101-0010'}","(0.0762, 2.304714517211914)"
"('001', '1011010011')","{'S_1': '0-01', 'S_2': '1-01-101-0011'}","(0.1902, 2.2880881225585936)"
"('001', '1011010100')","{'S_1': '0-01', 'S_2': '1-01-101-0100'}","(0.1438, 2.292924912261963)"
"('001', '1011010101')","{'S_1': '0-01', 'S_2': '1-01-101-0101'}","(0.2591, 2.2742852294921874)"
"('001', '1011010110')","{'S_1': '0-01', 'S_2': '1-01-101-0110'}","(0.1347, 2.294803151702881)"
"('001', '1011010111')","{'S_1': '0-01', 'S_2': '1-01-101-0111'}","(0.2486, 2.2763738945007326)"
"('001', '1011011000')","{'S_1': '0-01', 'S_2': '1-01-101-1000'}","(0.5632, 2.177184981918335)"
"('001', '1011011001')","{'S_1': '0-01', 'S_2': '1-01-101-1001'}","(0.5621, 2.1641453929901124)"
"('001', '1011011010')","{'S_1': '0-01', 'S_2': '1-01-101-1010'}","(0.5573, 2.181788687133789)"
"('001', '1011011011')","{'S_1': '0-01', 'S_2': '1-01-101-1011'}","(0.5554, 2.16851630859375)"
"('001', '1011011100')","{'S_1': '0-01', 'S_2': '1-01-101-1100'}","(0.5655, 2.170956924057007)"
"('001', '1011011101')","{'S_1': '0-01', 'S_2': '1-01-101-1101'}","(0.5581, 2.156948164367676)"
"('001', '1011011110')","{'S_1': '0-01', 'S_2': '1-01-101-1110'}","(0.5568, 2.175335230255127)"
"('001', '1011011111')","{'S_1': '0-01', 'S_2': '1-01-101-1111'}","(0.5522, 2.161010545349121)"
"('001', '1011100000')","{'S_1': '0-01', 'S_2': '1-01-110-0000'}","(0.0635, 2.3063757457733156)"
"('001', '1011100001')","{'S_1': '0-01', 'S_2': '1-01-110-0001'}","(0.1949, 2.2862620754241942)"
"('001', '1011100010')","{'S_1': '0-01', 'S_2': '1-01-110-0010'}","(0.077, 2.3052875)"
"('001', '1011100011')","{'S_1': '0-01', 'S_2': '1-01-110-0011'}","(0.1967, 2.286533059692383)"
"('001', '1011100100')","{'S_1': '0-01', 'S_2': '1-01-110-0100'}","(0.1338, 2.2944197246551514)"
"('001', '1011100101')","{'S_1': '0-01', 'S_2': '1-01-110-0101'}","(0.2521, 2.2747174129486085)"
"('001', '1011100110')","{'S_1': '0-01', 'S_2': '1-01-110-0110'}","(0.1324, 2.295359578704834)"
"('001', '1011100111')","{'S_1': '0-01', 'S_2': '1-01-110-0111'}","(0.2554, 2.274834959411621)"
"('001', '1011101000')","{'S_1': '0-01', 'S_2': '1-01-110-1000'}","(0.557, 2.1799060638427736)"
"('001', '1011101001')","{'S_1': '0-01', 'S_2': '1-01-110-1001'}","(0.558, 2.165831779098511)"
"('001', '1011101010')","{'S_1': '0-01', 'S_2': '1-01-110-1010'}","(0.5539, 2.1826524894714354)"
"('001', '1011101011')","{'S_1': '0-01', 'S_2': '1-01-110-1011'}","(0.5532, 2.1683927009582518)"
"('001', '1011101100')","{'S_1': '0-01', 'S_2': '1-01-110-1100'}","(0.5587, 2.173628488922119)"
"('001', '1011101101')","{'S_1': '0-01', 'S_2': '1-01-110-1101'}","(0.5564, 2.158481719589233)"
"('001', '1011101110')","{'S_1': '0-01', 'S_2': '1-01-110-1110'}","(0.5543, 2.1761402660369873)"
"('001', '1011101111')","{'S_1': '0-01', 'S_2': '1-01-110-1111'}","(0.5503, 2.160694950866699)"
"('001', '1011110000')","{'S_1': '0-01', 'S_2': '1-01-111-0000'}","(0.0688, 2.30576944770813)"
"('001', '1011110001')","{'S_1': '0-01', 'S_2': '1-01-111-0001'}","(0.2065, 2.2843212478637693)"
"('001', '1011110010')","{'S_1': '0-01', 'S_2': '1-01-111-0010'}","(0.0794, 2.3052250396728518)"
"('001', '1011110011')","{'S_1': '0-01', 'S_2': '1-01-111-0011'}","(0.1954, 2.28665362701416)"
"('001', '1011110100')","{'S_1': '0-01', 'S_2': '1-01-111-0100'}","(0.1449, 2.293311576080322)"
"('001', '1011110101')","{'S_1': '0-01', 'S_2': '1-01-111-0101'}","(0.2633, 2.2728262535095216)"
"('001', '1011110110')","{'S_1': '0-01', 'S_2': '1-01-111-0110'}","(0.1337, 2.295198917388916)"
"('001', '1011110111')","{'S_1': '0-01', 'S_2': '1-01-111-0111'}","(0.2527, 2.274928732299805)"
"('001', '1011111000')","{'S_1': '0-01', 'S_2': '1-01-111-1000'}","(0.5611, 2.1777073852539064)"
"('001', '1011111001')","{'S_1': '0-01', 'S_2': '1-01-111-1001'}","(0.5614, 2.163867469406128)"
"('001', '1011111010')","{'S_1': '0-01', 'S_2': '1-01-111-1010'}","(0.5542, 2.182302919769287)"
"('001', '1011111011')","{'S_1': '0-01', 'S_2': '1-01-111-1011'}","(0.5542, 2.1682119636535644)"
"('001', '1011111100')","{'S_1': '0-01', 'S_2': '1-01-111-1100'}","(0.5633, 2.1714270748138427)"
"('001', '1011111101')","{'S_1': '0-01', 'S_2': '1-01-111-1101'}","(0.5573, 2.1565258548736574)"
"('001', '1011111110')","{'S_1': '0-01', 'S_2': '1-01-111-1110'}","(0.5535, 2.1757965114593505)"
"('001', '1011111111')","{'S_1': '0-01', 'S_2': '1-01-111-1111'}","(0.551, 2.1605567710876463)"
"('001', '1100000000')","{'S_1': '0-01', 'S_2': '1-10-000-0000'}","(0.1001, 2.3096417907714843)"
"('001', '1100000001')","{'S_1': '0-01', 'S_2': '1-10-000-0001'}","(0.0959, 2.3098346370697023)"
"('001', '1100000010')","{'S_1': '0-01', 'S_2': '1-10-000-0010'}","(0.1589, 2.292706270980835)"
"('001', '1100000011')","{'S_1': '0-01', 'S_2': '1-10-000-0011'}","(0.1535, 2.2945340827941894)"
"('001', '1100000100')","{'S_1': '0-01', 'S_2': '1-10-000-0100'}","(0.1707, 2.292250481414795)"
"('001', '1100000101')","{'S_1': '0-01', 'S_2': '1-10-000-0101'}","(0.1673, 2.2938658325195314)"
"('001', '1100000110')","{'S_1': '0-01', 'S_2': '1-10-000-0110'}","(0.2696, 2.274013637161255)"
"('001', '1100000111')","{'S_1': '0-01', 'S_2': '1-10-000-0111'}","(0.2559, 2.2759856708526613)"
"('001', '1100001000')","{'S_1': '0-01', 'S_2': '1-10-000-1000'}","(0.5489, 2.183445195770264)"
"('001', '1100001001')","{'S_1': '0-01', 'S_2': '1-10-000-1001'}","(0.5442, 2.186943883895874)"
"('001', '1100001010')","{'S_1': '0-01', 'S_2': '1-10-000-1010'}","(0.5495, 2.1692438488006593)"
"('001', '1100001011')","{'S_1': '0-01', 'S_2': '1-10-000-1011'}","(0.5463, 2.172656540298462)"
"('001', '1100001100')","{'S_1': '0-01', 'S_2': '1-10-000-1100'}","(0.5707, 2.1706753540039063)"
"('001', '1100001101')","{'S_1': '0-01', 'S_2': '1-10-000-1101'}","(0.5663, 2.1741137886047364)"
"('001', '1100001110')","{'S_1': '0-01', 'S_2': '1-10-000-1110'}","(0.5654, 2.155071583557129)"
"('001', '1100001111')","{'S_1': '0-01', 'S_2': '1-10-000-1111'}","(0.5619, 2.158331708526611)"
"('001', '1100010000')","{'S_1': '0-01', 'S_2': '1-10-001-0000'}","(0.0763, 2.308395192337036)"
"('001', '1100010001')","{'S_1': '0-01', 'S_2': '1-10-001-0001'}","(0.0939, 2.306857825088501)"
"('001', '1100010010')","{'S_1': '0-01', 'S_2': '1-10-001-0010'}","(0.1554, 2.2932235725402834)"
"('001', '1100010011')","{'S_1': '0-01', 'S_2': '1-10-001-0011'}","(0.1607, 2.2932336254119874)"
"('001', '1100010100')","{'S_1': '0-01', 'S_2': '1-10-001-0100'}","(0.168, 2.2895459213256837)"
"('001', '1100010101')","{'S_1': '0-01', 'S_2': '1-10-001-0101'}","(0.1771, 2.2889712348937987)"
"('001', '1100010110')","{'S_1': '0-01', 'S_2': '1-10-001-0110'}","(0.2518, 2.2753371028900147)"
"('001', '1100010111')","{'S_1': '0-01', 'S_2': '1-10-001-0111'}","(0.264, 2.274474583816528)"
"('001', '1100011000')","{'S_1': '0-01', 'S_2': '1-10-001-1000'}","(0.5572, 2.177926940536499)"
"('001', '1100011001')","{'S_1': '0-01', 'S_2': '1-10-001-1001'}","(0.553, 2.1801142265319826)"
"('001', '1100011010')","{'S_1': '0-01', 'S_2': '1-10-001-1010'}","(0.5481, 2.170436471557617)"
"('001', '1100011011')","{'S_1': '0-01', 'S_2': '1-10-001-1011'}","(0.5444, 2.172263648223877)"
"('001', '1100011100')","{'S_1': '0-01', 'S_2': '1-10-001-1100'}","(0.5778, 2.164801494979858)"
"('001', '1100011101')","{'S_1': '0-01', 'S_2': '1-10-001-1101'}","(0.5705, 2.166588977432251)"
"('001', '1100011110')","{'S_1': '0-01', 'S_2': '1-10-001-1110'}","(0.5648, 2.156449521636963)"
"('001', '1100011111')","{'S_1': '0-01', 'S_2': '1-10-001-1111'}","(0.559, 2.1578041217803956)"
"('001', '1100100000')","{'S_1': '0-01', 'S_2': '1-10-010-0000'}","(0.1241, 2.3058946952819825)"
"('001', '1100100001')","{'S_1': '0-01', 'S_2': '1-10-010-0001'}","(0.136, 2.303790630722046)"
"('001', '1100100010')","{'S_1': '0-01', 'S_2': '1-10-010-0010'}","(0.1775, 2.2878207313537597)"
"('001', '1100100011')","{'S_1': '0-01', 'S_2': '1-10-010-0011'}","(0.1891, 2.2868704612731934)"
"('001', '1100100100')","{'S_1': '0-01', 'S_2': '1-10-010-0100'}","(0.1672, 2.293804195022583)"
"('001', '1100100101')","{'S_1': '0-01', 'S_2': '1-10-010-0101'}","(0.169, 2.2933412128448487)"
"('001', '1100100110')","{'S_1': '0-01', 'S_2': '1-10-010-0110'}","(0.2482, 2.276145064163208)"
"('001', '1100100111')","{'S_1': '0-01', 'S_2': '1-10-010-0111'}","(0.2621, 2.2749022300720214)"
"('001', '1100101000')","{'S_1': '0-01', 'S_2': '1-10-010-1000'}","(0.5625, 2.179045775604248)"
"('001', '1100101001')","{'S_1': '0-01', 'S_2': '1-10-010-1001'}","(0.5623, 2.18037586517334)"
"('001', '1100101010')","{'S_1': '0-01', 'S_2': '1-10-010-1010'}","(0.5624, 2.164301107788086)"
"('001', '1100101011')","{'S_1': '0-01', 'S_2': '1-10-010-1011'}","(0.5597, 2.1653909885406493)"
"('001', '1100101100')","{'S_1': '0-01', 'S_2': '1-10-010-1100'}","(0.5631, 2.1729719497680664)"
"('001', '1100101101')","{'S_1': '0-01', 'S_2': '1-10-010-1101'}","(0.5633, 2.174098726654053)"
"('001', '1100101110')","{'S_1': '0-01', 'S_2': '1-10-010-1110'}","(0.5603, 2.1574477546691893)"
"('001', '1100101111')","{'S_1': '0-01', 'S_2': '1-10-010-1111'}","(0.5594, 2.158162387084961)"
"('001', '1100110000')","{'S_1': '0-01', 'S_2': '1-10-011-0000'}","(0.0856, 2.304919663619995)"
"('001', '1100110001')","{'S_1': '0-01', 'S_2': '1-10-011-0001'}","(0.1482, 2.300538680267334)"
"('001', '1100110010')","{'S_1': '0-01', 'S_2': '1-10-011-0010'}","(0.1767, 2.2884487476348876)"
"('001', '1100110011')","{'S_1': '0-01', 'S_2': '1-10-011-0011'}","(0.1944, 2.2851799896240235)"
"('001', '1100110100')","{'S_1': '0-01', 'S_2': '1-10-011-0100'}","(0.1635, 2.291075957107544)"
"('001', '1100110101')","{'S_1': '0-01', 'S_2': '1-10-011-0101'}","(0.1809, 2.28764655380249)"
"('001', '1100110110')","{'S_1': '0-01', 'S_2': '1-10-011-0110'}","(0.2364, 2.276909893798828)"
"('011', '0000000001')","{'S_1': '0-11', 'S_2': '0-00-000-0001'}","(0.0923, 2.3043363983154297)"
"('011', '0000000010')","{'S_1': '0-11', 'S_2': '0-00-000-0010'}","(0.0592, 2.3065883666992186)"
"('011', '0000000011')","{'S_1': '0-11', 'S_2': '0-00-000-0011'}","(0.0939, 2.303802679824829)"
"('011', '0000000100')","{'S_1': '0-11', 'S_2': '0-00-000-0100'}","(0.0794, 2.3205688117980956)"
"('011', '0000000101')","{'S_1': '0-11', 'S_2': '0-00-000-0101'}","(0.0834, 2.3147628959655764)"
"('011', '0000000110')","{'S_1': '0-11', 'S_2': '0-00-000-0110'}","(0.0844, 2.3134991539001466)"
"('011', '0000000111')","{'S_1': '0-11', 'S_2': '0-00-000-0111'}","(0.0862, 2.3108926677703856)"
"('011', '0000001000')","{'S_1': '0-11', 'S_2': '0-00-000-1000'}","(0.9859, 0.04783117933943868)"
"('011', '0000001001')","{'S_1': '0-11', 'S_2': '0-00-000-1001'}","(0.9855, 0.04811780911963433)"
"('011', '0000001010')","{'S_1': '0-11', 'S_2': '0-00-000-1010'}","(0.9854, 0.048588855298049745)"
"('011', '0000001011')","{'S_1': '0-11', 'S_2': '0-00-000-1011'}","(0.9853, 0.048930659850686786)"
"('011', '0000001100')","{'S_1': '0-11', 'S_2': '0-00-000-1100'}","(0.9858, 0.04813791261017322)"
"('011', '0000001101')","{'S_1': '0-11', 'S_2': '0-00-000-1101'}","(0.9854, 0.04847913838103413)"
"('011', '0000001110')","{'S_1': '0-11', 'S_2': '0-00-000-1110'}","(0.9855, 0.048956357635185126)"
"('011', '0000001111')","{'S_1': '0-11', 'S_2': '0-00-000-1111'}","(0.9853, 0.04935981721663848)"
"('011', '0000010000')","{'S_1': '0-11', 'S_2': '0-00-001-0000'}","(0.1056, 2.302222632980347)"
"('011', '0000010001')","{'S_1': '0-11', 'S_2': '0-00-001-0001'}","(0.0951, 2.303738628768921)"
"('011', '0000010010')","{'S_1': '0-11', 'S_2': '0-00-001-0010'}","(0.0684, 2.3048033813476563)"
"('011', '0000010011')","{'S_1': '0-11', 'S_2': '0-00-001-0011'}","(0.083, 2.3038506340026856)"
"('011', '0000010100')","{'S_1': '0-11', 'S_2': '0-00-001-0100'}","(0.0704, 2.3209574184417723)"
"('011', '0000010101')","{'S_1': '0-11', 'S_2': '0-00-001-0101'}","(0.087, 2.312717791748047)"
"('011', '0000010110')","{'S_1': '0-11', 'S_2': '0-00-001-0110'}","(0.0861, 2.314775082397461)"
"('011', '0000010111')","{'S_1': '0-11', 'S_2': '0-00-001-0111'}","(0.0865, 2.3097030113220214)"
"('011', '0000011000')","{'S_1': '0-11', 'S_2': '0-00-001-1000'}","(0.9859, 0.04783531510382891)"
"('011', '0000011001')","{'S_1': '0-11', 'S_2': '0-00-001-1001'}","(0.9857, 0.048154893523454666)"
"('011', '0000011010')","{'S_1': '0-11', 'S_2': '0-00-001-1010'}","(0.9854, 0.04860470182816498)"
"('011', '0000011011')","{'S_1': '0-11', 'S_2': '0-00-001-1011'}","(0.9854, 0.048957579310238364)"
"('011', '0000011100')","{'S_1': '0-11', 'S_2': '0-00-001-1100'}","(0.9858, 0.048146300717256965)"
"('011', '0000011101')","{'S_1': '0-11', 'S_2': '0-00-001-1101'}","(0.9855, 0.04850554232932627)"
"('011', '0000011110')","{'S_1': '0-11', 'S_2': '0-00-001-1110'}","(0.9856, 0.04897588479816914)"
"('011', '0000011111')","{'S_1': '0-11', 'S_2': '0-00-001-1111'}","(0.9856, 0.04936840265057981)"
"('011', '0000100000')","{'S_1': '0-11', 'S_2': '0-00-010-0000'}","(0.0882, 2.3028018268585204)"
"('011', '0000100001')","{'S_1': '0-11', 'S_2': '0-00-010-0001'}","(0.1049, 2.3038282688140868)"
"('011', '0000100010')","{'S_1': '0-11', 'S_2': '0-00-010-0010'}","(0.0735, 2.3048104328155516)"
"('011', '0000100011')","{'S_1': '0-11', 'S_2': '0-00-010-0011'}","(0.0824, 2.3042487518310546)"
"('011', '0000100100')","{'S_1': '0-11', 'S_2': '0-00-010-0100'}","(0.0629, 2.3174414897918703)"
"('011', '0000100101')","{'S_1': '0-11', 'S_2': '0-00-010-0101'}","(0.0879, 2.3117130195617674)"
"('011', '0000100110')","{'S_1': '0-11', 'S_2': '0-00-010-0110'}","(0.0847, 2.3113153549194334)"
"('011', '0000100111')","{'S_1': '0-11', 'S_2': '0-00-010-0111'}","(0.0875, 2.308854056930542)"
"('011', '0000101000')","{'S_1': '0-11', 'S_2': '0-00-010-1000'}","(0.9858, 0.04787328853532672)"
"('011', '0000101001')","{'S_1': '0-11', 'S_2': '0-00-010-1001'}","(0.9858, 0.04815166507214308)"
"('011', '0000101010')","{'S_1': '0-11', 'S_2': '0-00-010-1010'}","(0.9854, 0.048644121208786965)"
"('011', '0000101011')","{'S_1': '0-11', 'S_2': '0-00-010-1011'}","(0.9853, 0.048950105529325084)"
"('011', '0000101100')","{'S_1': '0-11', 'S_2': '0-00-010-1100'}","(0.9857, 0.04819119984442368)"
"('011', '0000101101')","{'S_1': '0-11', 'S_2': '0-00-010-1101'}","(0.9857, 0.04851600849367678)"
"('011', '0000101110')","{'S_1': '0-11', 'S_2': '0-00-010-1110'}","(0.9856, 0.04901815751194954)"
"('011', '0000101111')","{'S_1': '0-11', 'S_2': '0-00-010-1111'}","(0.9854, 0.04937596166208386)"
"('011', '0000110000')","{'S_1': '0-11', 'S_2': '0-00-011-0000'}","(0.1112, 2.3016097496032715)"
"('011', '0000110001')","{'S_1': '0-11', 'S_2': '0-00-011-0001'}","(0.0961, 2.303958401489258)"
"('011', '0000110010')","{'S_1': '0-11', 'S_2': '0-00-011-0010'}","(0.0839, 2.304731795501709)"
"('011', '0000110011')","{'S_1': '0-11', 'S_2': '0-00-011-0011'}","(0.0857, 2.304015565490723)"
"('011', '0000110100')","{'S_1': '0-11', 'S_2': '0-00-011-0100'}","(0.0635, 2.3179085330963134)"
"('011', '0000110101')","{'S_1': '0-11', 'S_2': '0-00-011-0101'}","(0.0871, 2.311865414428711)"
"('011', '0000110110')","{'S_1': '0-11', 'S_2': '0-00-011-0110'}","(0.0856, 2.3115664894104)"
"('011', '0000110111')","{'S_1': '0-11', 'S_2': '0-00-011-0111'}","(0.0865, 2.308974632644653)"
"('011', '0000111000')","{'S_1': '0-11', 'S_2': '0-00-011-1000'}","(0.9858, 0.04782642705217004)"
"('011', '0000111001')","{'S_1': '0-11', 'S_2': '0-00-011-1001'}","(0.9858, 0.0481540954336524)"
"('011', '0000111010')","{'S_1': '0-11', 'S_2': '0-00-011-1010'}","(0.9855, 0.04859684356972575)"
"('011', '0000111011')","{'S_1': '0-11', 'S_2': '0-00-011-1011'}","(0.9852, 0.04895368241071701)"
"('011', '0000111100')","{'S_1': '0-11', 'S_2': '0-00-011-1100'}","(0.9857, 0.048142216681689026)"
"('011', '0000111101')","{'S_1': '0-11', 'S_2': '0-00-011-1101'}","(0.9857, 0.04851606654711068)"
"('011', '0000111110')","{'S_1': '0-11', 'S_2': '0-00-011-1110'}","(0.9856, 0.048969221561402085)"
"('011', '0000111111')","{'S_1': '0-11', 'S_2': '0-00-011-1111'}","(0.9855, 0.049377006025239825)"
"('011', '0001000000')","{'S_1': '0-11', 'S_2': '0-00-100-0000'}","(0.1153, 2.5213400341033934)"
"('011', '0001000001')","{'S_1': '0-11', 'S_2': '0-00-100-0001'}","(0.9852, 0.6360412462234497)"
"('011', '0001000010')","{'S_1': '0-11', 'S_2': '0-00-100-0010'}","(0.1155, 2.522793801879883)"
"('011', '0001000011')","{'S_1': '0-11', 'S_2': '0-00-100-0011'}","(0.9843, 0.7046580155372619)"
"('011', '0001000100')","{'S_1': '0-11', 'S_2': '0-00-100-0100'}","(0.1146, 2.533356322097778)"
"('011', '0001000101')","{'S_1': '0-11', 'S_2': '0-00-100-0101'}","(0.9842, 0.7269301087379455)"
"('011', '0001000110')","{'S_1': '0-11', 'S_2': '0-00-100-0110'}","(0.1159, 2.530710301208496)"
"('011', '0001000111')","{'S_1': '0-11', 'S_2': '0-00-100-0111'}","(0.9829, 0.7981569311141968)"
"('011', '0001001000')","{'S_1': '0-11', 'S_2': '0-00-100-1000'}","(0.9862, 0.048217448046803474)"
"('011', '0001001001')","{'S_1': '0-11', 'S_2': '0-00-100-1001'}","(0.9881, 0.04246039817230776)"
"('011', '0001001010')","{'S_1': '0-11', 'S_2': '0-00-100-1010'}","(0.9859, 0.04907196780666709)"
"('011', '0001001011')","{'S_1': '0-11', 'S_2': '0-00-100-1011'}","(0.9879, 0.042830605098232624)"
"('011', '0001001100')","{'S_1': '0-11', 'S_2': '0-00-100-1100'}","(0.986, 0.04869089265465736)"
"('011', '0001001101')","{'S_1': '0-11', 'S_2': '0-00-100-1101'}","(0.9878, 0.04249837795430794)"
"('011', '0001001110')","{'S_1': '0-11', 'S_2': '0-00-100-1110'}","(0.9858, 0.049612691460549835)"
"('011', '0001001111')","{'S_1': '0-11', 'S_2': '0-00-100-1111'}","(0.9877, 0.04288911421187222)"
"('011', '0001010000')","{'S_1': '0-11', 'S_2': '0-00-101-0000'}","(0.1166, 2.517315073776245)"
"('011', '0001010001')","{'S_1': '0-11', 'S_2': '0-00-101-0001'}","(0.9852, 0.6431331328392029)"
"('011', '0001010010')","{'S_1': '0-11', 'S_2': '0-00-101-0010'}","(0.1164, 2.518896389007568)"
"('011', '0001010011')","{'S_1': '0-11', 'S_2': '0-00-101-0011'}","(0.9845, 0.7127725691795349)"
"('011', '0001010100')","{'S_1': '0-11', 'S_2': '0-00-101-0100'}","(0.1155, 2.529182211303711)"
"('011', '0001010101')","{'S_1': '0-11', 'S_2': '0-00-101-0101'}","(0.9839, 0.7352514200210571)"
"('011', '0001010110')","{'S_1': '0-11', 'S_2': '0-00-101-0110'}","(0.1168, 2.526689189147949)"
"('011', '0001010111')","{'S_1': '0-11', 'S_2': '0-00-101-0111'}","(0.9828, 0.8074451602935792)"
"('011', '0001011000')","{'S_1': '0-11', 'S_2': '0-00-101-1000'}","(0.9862, 0.04819451034637168)"
"('011', '0001011001')","{'S_1': '0-11', 'S_2': '0-00-101-1001'}","(0.9881, 0.0425192066334188)"
"('011', '0001011010')","{'S_1': '0-11', 'S_2': '0-00-101-1010'}","(0.9859, 0.04904061108529568)"
"('011', '0001011011')","{'S_1': '0-11', 'S_2': '0-00-101-1011'}","(0.9879, 0.0428955807318911)"
"('011', '0001011100')","{'S_1': '0-11', 'S_2': '0-00-101-1100'}","(0.986, 0.048654913344234225)"
"('011', '0001011101')","{'S_1': '0-11', 'S_2': '0-00-101-1101'}","(0.9878, 0.04256077906871215)"
"('011', '0001011110')","{'S_1': '0-11', 'S_2': '0-00-101-1110'}","(0.9857, 0.04957004314810037)"
"('011', '0001011111')","{'S_1': '0-11', 'S_2': '0-00-101-1111'}","(0.9877, 0.04295399108976126)"
"('011', '0001100000')","{'S_1': '0-11', 'S_2': '0-00-110-0000'}","(0.1157, 2.5152722148895266)"
"('011', '0001100001')","{'S_1': '0-11', 'S_2': '0-00-110-0001'}","(0.9851, 0.6457572992324829)"
"('011', '0001100010')","{'S_1': '0-11', 'S_2': '0-00-110-0010'}","(0.116, 2.5164629611968996)"
"('011', '0001100011')","{'S_1': '0-11', 'S_2': '0-00-110-0011'}","(0.9847, 0.7155184814453125)"
"('011', '0001100100')","{'S_1': '0-11', 'S_2': '0-00-110-0100'}","(0.1147, 2.527005933761597)"
"('011', '0001100101')","{'S_1': '0-11', 'S_2': '0-00-110-0101'}","(0.9833, 0.7381961460113525)"
"('011', '0001100110')","{'S_1': '0-11', 'S_2': '0-00-110-0110'}","(0.1159, 2.52422898979187)"
"('011', '0001100111')","{'S_1': '0-11', 'S_2': '0-00-110-0111'}","(0.9828, 0.8103590242385864)"
"('011', '0001101000')","{'S_1': '0-11', 'S_2': '0-00-110-1000'}","(0.9863, 0.04820150962397456)"
"('011', '0001101001')","{'S_1': '0-11', 'S_2': '0-00-110-1001'}","(0.9881, 0.04255554518736899)"
"('011', '0001101010')","{'S_1': '0-11', 'S_2': '0-00-110-1010'}","(0.9861, 0.04904435136243701)"
"('011', '0001101011')","{'S_1': '0-11', 'S_2': '0-00-110-1011'}","(0.9879, 0.04293229334000498)"
"('011', '0001101100')","{'S_1': '0-11', 'S_2': '0-00-110-1100'}","(0.986, 0.048672851007431746)"
"('011', '0001101101')","{'S_1': '0-11', 'S_2': '0-00-110-1101'}","(0.9877, 0.04259848648570478)"
"('011', '0001101110')","{'S_1': '0-11', 'S_2': '0-00-110-1110'}","(0.9856, 0.04958583673834801)"
"('011', '0001101111')","{'S_1': '0-11', 'S_2': '0-00-110-1111'}","(0.9877, 0.042995666679739954)"
"('011', '0001110000')","{'S_1': '0-11', 'S_2': '0-00-111-0000'}","(0.1171, 2.511230492401123)"
"('011', '0001110001')","{'S_1': '0-11', 'S_2': '0-00-111-0001'}","(0.9849, 0.6532269306182862)"
"('011', '0001110010')","{'S_1': '0-11', 'S_2': '0-00-111-0010'}","(0.1166, 2.512522359085083)"
"('011', '0001110011')","{'S_1': '0-11', 'S_2': '0-00-111-0011'}","(0.9843, 0.7240327805519104)"
"('011', '0001110100')","{'S_1': '0-11', 'S_2': '0-00-111-0100'}","(0.1146, 2.5228253883361815)"
"('011', '0001110101')","{'S_1': '0-11', 'S_2': '0-00-111-0101'}","(0.9835, 0.746901789855957)"
"('011', '0001110110')","{'S_1': '0-11', 'S_2': '0-00-111-0110'}","(0.1173, 2.5201633533477783)"
"('011', '0001110111')","{'S_1': '0-11', 'S_2': '0-00-111-0111'}","(0.9828, 0.8200293720245362)"
"('011', '0001111000')","{'S_1': '0-11', 'S_2': '0-00-111-1000'}","(0.9862, 0.048178739151358604)"
"('011', '0001111001')","{'S_1': '0-11', 'S_2': '0-00-111-1001'}","(0.9881, 0.042617433973774314)"
"('011', '0001111010')","{'S_1': '0-11', 'S_2': '0-00-111-1010'}","(0.986, 0.04901581677943468)"
"('011', '0001111011')","{'S_1': '0-11', 'S_2': '0-00-111-1011'}","(0.9878, 0.042997092363610864)"
"('011', '0001111100')","{'S_1': '0-11', 'S_2': '0-00-111-1100'}","(0.9861, 0.04863904497474432)"
"('011', '0001111101')","{'S_1': '0-11', 'S_2': '0-00-111-1101'}","(0.9877, 0.04266278543453664)"
"('011', '0001111110')","{'S_1': '0-11', 'S_2': '0-00-111-1110'}","(0.9857, 0.049545343846827745)"
"('011', '0001111111')","{'S_1': '0-11', 'S_2': '0-00-111-1111'}","(0.9877, 0.04306346891792491)"
"('011', '0010000000')","{'S_1': '0-11', 'S_2': '0-01-000-0000'}","(0.108, 2.302291622543335)"
"('011', '0010000001')","{'S_1': '0-11', 'S_2': '0-01-000-0001'}","(0.1151, 2.3013619438171387)"
"('011', '0010000010')","{'S_1': '0-11', 'S_2': '0-01-000-0010'}","(0.0901, 2.304192572784424)"
"('011', '0010000011')","{'S_1': '0-11', 'S_2': '0-01-000-0011'}","(0.1072, 2.304031204223633)"
