model tuple,gen,test result
"('111', '1100111110')","{'S_1': '1-11', 'S_2': '1-10-011-1110'}","(0.9908, 0.03415253619319992)"
"('111', '1100111101')","{'S_1': '1-11', 'S_2': '1-10-011-1101'}","(0.9904, 0.033279418065445494)"
"('111', '1100111100')","{'S_1': '1-11', 'S_2': '1-10-011-1100'}","(0.9897, 0.035140460138572964)"
"('111', '1100111011')","{'S_1': '1-11', 'S_2': '1-10-011-1011'}","(0.99, 0.034176114730723205)"
"('111', '1100111010')","{'S_1': '1-11', 'S_2': '1-10-011-1010'}","(0.9892, 0.035859746800363065)"
"('111', '1100111001')","{'S_1': '1-11', 'S_2': '1-10-011-1001'}","(0.9888, 0.03605923924725503)"
"('111', '1100111000')","{'S_1': '1-11', 'S_2': '1-10-011-1000'}","(0.9872, 0.03930818660706282)"
"('111', '1100110111')","{'S_1': '1-11', 'S_2': '1-10-011-0111'}","(0.9913, 0.16300054602622985)"
"('111', '1100110110')","{'S_1': '1-11', 'S_2': '1-10-011-0110'}","(0.9912, 0.21313821911811828)"
"('111', '1100110101')","{'S_1': '1-11', 'S_2': '1-10-011-0101'}","(0.9901, 0.6470528841018677)"
"('111', '1100110100')","{'S_1': '1-11', 'S_2': '1-10-011-0100'}","(0.9864, 0.9176848052024841)"
"('111', '1100110011')","{'S_1': '1-11', 'S_2': '1-10-011-0011'}","(0.9897, 0.4794429647445679)"
"('111', '1100110010')","{'S_1': '1-11', 'S_2': '1-10-011-0010'}","(0.9887, 0.697408450126648)"
"('111', '1100110001')","{'S_1': '1-11', 'S_2': '1-10-011-0001'}","(0.9286, 1.8119849132537842)"
"('111', '1100110000')","{'S_1': '1-11', 'S_2': '1-10-011-0000'}","(0.135, 2.389826773071289)"
"('111', '1100101111')","{'S_1': '1-11', 'S_2': '1-10-010-1111'}","(0.9904, 0.034089924106162656)"
"('111', '1100101110')","{'S_1': '1-11', 'S_2': '1-10-010-1110'}","(0.9906, 0.034544028868211896)"
"('111', '1100101101')","{'S_1': '1-11', 'S_2': '1-10-010-1101'}","(0.9898, 0.033624019872117786)"
"('111', '1100101100')","{'S_1': '1-11', 'S_2': '1-10-010-1100'}","(0.9894, 0.03453435993688181)"
"('111', '1100101011')","{'S_1': '1-11', 'S_2': '1-10-010-1011'}","(0.9891, 0.03557968967333436)"
"('111', '1100101010')","{'S_1': '1-11', 'S_2': '1-10-010-1010'}","(0.989, 0.036265281269396654)"
"('111', '1100101001')","{'S_1': '1-11', 'S_2': '1-10-010-1001'}","(0.9875, 0.037713881292752924)"
"('111', '1100101000')","{'S_1': '1-11', 'S_2': '1-10-010-1000'}","(0.9869, 0.03949730022996664)"
"('111', '1100100111')","{'S_1': '1-11', 'S_2': '1-10-010-0111'}","(0.991, 0.18192534320354461)"
"('111', '1100100110')","{'S_1': '1-11', 'S_2': '1-10-010-0110'}","(0.9913, 0.19615992014408112)"
"('111', '1100100101')","{'S_1': '1-11', 'S_2': '1-10-010-0101'}","(0.9159, 1.103281810760498)"
"('111', '1100100100')","{'S_1': '1-11', 'S_2': '1-10-010-0100'}","(0.892, 1.1787674036026001)"
"('111', '1100100011')","{'S_1': '1-11', 'S_2': '1-10-010-0011'}","(0.9893, 0.5623205577373505)"
"('111', '1100100010')","{'S_1': '1-11', 'S_2': '1-10-010-0010'}","(0.9892, 0.6388086471557617)"
"('111', '1100100001')","{'S_1': '1-11', 'S_2': '1-10-010-0001'}","(0.198, 2.321081571960449)"
"('111', '1100100000')","{'S_1': '1-11', 'S_2': '1-10-010-0000'}","(0.0778, 2.483089580154419)"
"('111', '1100011111')","{'S_1': '1-11', 'S_2': '1-10-001-1111'}","(0.9907, 0.033788410993217256)"
"('111', '1100011110')","{'S_1': '1-11', 'S_2': '1-10-001-1110'}","(0.9906, 0.03455120839630254)"
"('111', '1100011101')","{'S_1': '1-11', 'S_2': '1-10-001-1101'}","(0.9902, 0.03428107245052233)"
"('111', '1100011100')","{'S_1': '1-11', 'S_2': '1-10-001-1100'}","(0.9895, 0.0355288563718088)"
"('111', '1100011011')","{'S_1': '1-11', 'S_2': '1-10-001-1011'}","(0.9893, 0.03547644961960614)"
"('111', '1100011010')","{'S_1': '1-11', 'S_2': '1-10-001-1010'}","(0.9887, 0.0367845744587481)"
"('111', '1100011001')","{'S_1': '1-11', 'S_2': '1-10-001-1001'}","(0.9874, 0.03890223059989512)"
"('111', '1100011000')","{'S_1': '1-11', 'S_2': '1-10-001-1000'}","(0.9868, 0.041364523494802415)"
"('111', '1100010111')","{'S_1': '1-11', 'S_2': '1-10-001-0111'}","(0.9911, 0.17764696743488312)"
"('111', '1100010110')","{'S_1': '1-11', 'S_2': '1-10-001-0110'}","(0.9917, 0.1967459493160248)"
"('111', '1100010101')","{'S_1': '1-11', 'S_2': '1-10-001-0101'}","(0.99, 0.7304029747009277)"
"('111', '1100010100')","{'S_1': '1-11', 'S_2': '1-10-001-0100'}","(0.9891, 0.8473489839553833)"
"('111', '1100010011')","{'S_1': '1-11', 'S_2': '1-10-001-0011'}","(0.96, 0.9100092378616333)"
"('111', '1100010010')","{'S_1': '1-11', 'S_2': '1-10-001-0010'}","(0.9426, 1.0209384731292726)"
"('111', '1100010001')","{'S_1': '1-11', 'S_2': '1-10-001-0001'}","(0.0576, 2.426385657501221)"
"('111', '1100010000')","{'S_1': '1-11', 'S_2': '1-10-001-0000'}","(0.0239, 2.600252829360962)"
"('111', '1100001111')","{'S_1': '1-11', 'S_2': '1-10-000-1111'}","(0.9903, 0.03502328194311703)"
